L1_encode_fltr,L1_decode_fltr,L1_encode_krnl,L1_decode_krnl,L1_encode_act,L1_decode_act,L2_encode_fltr,L2_decode_fltr,L2_encode_krnl,L2_decode_krnl,L2_encode_act,L2_decode_act,L3_encode_fltr,L3_decode_fltr,L3_encode_krnl,L3_decode_krnl,L3_encode_act,L3_decode_act,L4_encode_fltr,L4_decode_fltr,L4_encode_krnl,L4_decode_krnl,L4_encode_act,L4_decode_act,brdg_fltr,brdg_krnl,brdg_act,accuracy,trained
68,104,5,5,1,0,37,88,3,3,0,0,59,66,3,5,1,0,0,0,0,0,0,0,89,5,1,0.5152264833450317,0
68,104,5,5,1,0,37,88,3,3,0,0,59,66,3,5,1,0,0,0,0,0,0,0,89,5,1,0.3444022238254547,1
76,6,5,3,0,1,77,72,5,3,0,1,51,21,3,5,0,0,0,0,0,0,0,0,12,3,0,0.6561297178268433,0
76,6,5,3,0,1,77,72,5,3,0,1,51,21,3,5,0,0,0,0,0,0,0,0,12,3,0,0.3486860394477844,1
83,76,3,5,0,1,96,76,5,5,1,1,91,21,3,3,1,1,0,0,0,0,0,0,68,3,0,0.6561449766159058,0
83,76,3,5,0,1,96,76,5,5,1,1,91,21,3,3,1,1,0,0,0,0,0,0,68,3,0,0.4952027201652527,1
1,22,5,5,0,1,122,42,3,5,1,0,97,21,3,5,1,0,0,0,0,0,0,0,121,3,1,0.374193400144577,0
1,22,5,5,0,1,122,42,3,5,1,0,97,21,3,5,1,0,0,0,0,0,0,0,121,3,1,0.5034683346748352,1
88,73,3,5,0,0,104,110,3,5,1,1,105,37,3,3,0,0,0,0,0,0,0,0,107,3,1,0.34385502338409424,0
88,73,3,5,0,0,104,110,3,5,1,1,105,37,3,3,0,0,0,0,0,0,0,0,107,3,1,0.3447531759738922,1
17,74,3,3,1,0,28,113,3,3,1,0,16,114,5,5,0,1,0,0,0,0,0,0,45,5,1,0.6561449766159058,0
17,74,3,3,1,0,28,113,3,3,1,0,16,114,5,5,0,1,0,0,0,0,0,0,45,5,1,0.4766799509525299,1
80,107,3,3,1,1,76,78,5,3,1,1,109,111,3,5,0,0,0,0,0,0,0,0,77,3,1,0.3896775245666504,0
80,107,3,3,1,1,76,78,5,3,1,1,109,111,3,5,0,0,0,0,0,0,0,0,77,3,1,0.34532734751701355,1
24,104,3,5,0,1,73,90,3,3,0,0,40,103,3,3,1,1,0,0,0,0,0,0,45,3,1,0.34385502338409424,0
24,104,3,5,0,1,73,90,3,3,0,0,40,103,3,3,1,1,0,0,0,0,0,0,45,3,1,0.43686267733573914,1
9,84,3,5,0,1,86,61,5,5,0,1,109,14,5,5,1,1,0,0,0,0,0,0,99,5,0,0.6561449766159058,0
9,84,3,5,0,1,86,61,5,5,0,1,109,14,5,5,1,1,0,0,0,0,0,0,99,5,0,0.3598558306694031,1
124,23,5,5,0,0,60,41,3,5,0,1,92,34,5,3,0,0,0,0,0,0,0,0,111,5,0,0.4248671531677246,0
124,23,5,5,0,0,60,41,3,5,0,1,92,34,5,3,0,0,0,0,0,0,0,0,111,5,0,0.5401511788368225,1
124,29,5,5,0,1,114,123,3,5,0,0,41,119,3,5,0,0,0,0,0,0,0,0,112,5,0,0.44597750902175903,0
124,29,5,5,0,1,114,123,3,5,0,0,41,119,3,5,0,0,0,0,0,0,0,0,112,5,0,0.7393085360527039,1
14,77,5,5,0,0,110,93,3,5,0,1,109,126,3,3,0,1,0,0,0,0,0,0,75,5,1,0.34385502338409424,0
14,77,5,5,0,0,110,93,3,5,0,1,109,126,3,3,0,1,0,0,0,0,0,0,75,5,1,0.6561449766159058,1
4,68,3,3,0,1,53,6,5,5,0,1,119,75,3,5,0,0,0,0,0,0,0,0,14,3,1,0.35951197147369385,0
4,68,3,3,0,1,53,6,5,5,0,1,119,75,3,5,0,0,0,0,0,0,0,0,14,3,1,0.3569009602069855,1
117,26,3,3,1,0,117,127,3,3,0,1,78,75,5,5,0,0,0,0,0,0,0,0,33,5,1,0.34426063299179077,0
117,26,3,3,1,0,117,127,3,3,0,1,78,75,5,5,0,0,0,0,0,0,0,0,33,5,1,0.34428226947784424,1
103,107,3,3,0,1,105,110,3,5,1,0,108,33,5,3,1,0,0,0,0,0,0,0,11,3,0,0.6523323655128479,0
103,107,3,3,0,1,105,110,3,5,1,0,108,33,5,3,1,0,0,0,0,0,0,0,11,3,0,0.3441009521484375,1
29,28,5,5,1,0,48,94,5,5,1,1,33,63,3,5,0,1,0,0,0,0,0,0,40,5,1,0.6561449766159058,0
29,28,5,5,1,0,48,94,5,5,1,1,33,63,3,5,0,1,0,0,0,0,0,0,40,5,1,0.34602177143096924,1
69,126,5,3,1,0,17,31,3,3,0,0,117,33,5,5,0,0,0,0,0,0,0,0,117,3,1,0.650414764881134,0
69,126,5,3,1,0,17,31,3,3,0,0,117,33,5,5,0,0,0,0,0,0,0,0,117,3,1,0.607365071773529,1
113,46,3,5,0,1,85,45,5,5,0,1,42,57,3,3,1,1,0,0,0,0,0,0,7,5,0,0.34385502338409424,0
113,46,3,5,0,1,85,45,5,5,0,1,42,57,3,3,1,1,0,0,0,0,0,0,7,5,0,0.515257716178894,1
47,115,3,3,0,0,18,6,5,5,0,0,11,117,5,5,1,1,0,0,0,0,0,0,37,3,1,0.34385502338409424,0
47,115,3,3,0,0,18,6,5,5,0,0,11,117,5,5,1,1,0,0,0,0,0,0,37,3,1,0.37126052379608154,1
53,75,5,3,0,0,35,6,5,3,0,0,109,40,5,5,0,1,0,0,0,0,0,0,72,5,1,0.34385502338409424,0
53,75,5,3,0,0,35,6,5,3,0,0,109,40,5,5,0,1,0,0,0,0,0,0,72,5,1,0.5486893653869629,1
